epoch,train_mse,val_mse,lr
1,0.028479,0.019476,1.000000e-03
2,0.020250,0.017875,1.000000e-03
3,0.018116,0.016817,1.000000e-03
4,0.016774,0.016077,1.000000e-03
5,0.016021,0.015465,1.000000e-03
6,0.015571,0.015343,1.000000e-03
7,0.015137,0.014847,1.000000e-03
8,0.014647,0.014545,1.000000e-03
9,0.014304,0.014267,1.000000e-03
10,0.013941,0.015732,1.000000e-03
11,0.014423,0.014516,1.000000e-03
12,0.014050,0.014472,1.000000e-03
13,0.013593,0.014095,1.000000e-03
14,0.013382,0.014231,1.000000e-03
15,0.013277,0.014170,1.000000e-03
16,0.013130,0.013964,1.000000e-03
17,0.012922,0.013904,1.000000e-03
18,0.012907,0.013891,1.000000e-03
19,0.013116,0.014004,1.000000e-03
20,0.012913,0.013649,1.000000e-03
21,0.012592,0.016115,1.000000e-03
22,0.012942,0.013702,1.000000e-03
23,0.012333,0.013537,1.000000e-03
24,0.012398,0.014645,1.000000e-03
25,0.012096,0.013357,1.000000e-03
26,0.011923,0.013768,1.000000e-03
27,0.011800,0.013173,1.000000e-03
28,0.011632,0.013139,1.000000e-03
29,0.011523,0.013144,1.000000e-03
30,0.011321,0.012958,1.000000e-03
31,0.011364,0.013091,1.000000e-03
32,0.011312,0.012986,1.000000e-03
33,0.010882,0.012897,1.000000e-03
34,0.010689,0.013062,1.000000e-03
35,0.010833,0.012788,1.000000e-03
36,0.010475,0.013063,1.000000e-03
37,0.010500,0.012598,1.000000e-03
38,0.010431,0.012579,1.000000e-03
39,0.010358,0.012526,1.000000e-03
40,0.010449,0.012614,1.000000e-03
41,0.010152,0.012350,1.000000e-03
42,0.010107,0.013265,1.000000e-03
43,0.010074,0.012713,1.000000e-03
44,0.009937,0.012438,1.000000e-03
45,0.009762,0.012347,1.000000e-03
46,0.010118,0.012370,1.000000e-03
47,0.009881,0.012203,1.000000e-03
48,0.009565,0.012119,1.000000e-03
49,0.009350,0.012155,1.000000e-03
50,0.009636,0.012591,1.000000e-03
51,0.009493,0.012247,1.000000e-03
52,0.009162,0.012366,1.000000e-03
53,0.009464,0.012339,1.000000e-03
54,0.009061,0.011998,1.000000e-03
55,0.009154,0.013182,1.000000e-03
56,0.009209,0.012877,1.000000e-03
57,0.009172,0.012005,1.000000e-03
58,0.008995,0.012018,1.000000e-03
59,0.008803,0.011888,1.000000e-03
60,0.008697,0.011973,1.000000e-03
61,0.008675,0.011876,1.000000e-03
62,0.008683,0.012243,1.000000e-03
63,0.008656,0.011958,1.000000e-03
64,0.008503,0.011711,1.000000e-03
65,0.008412,0.011857,1.000000e-03
66,0.008473,0.011886,1.000000e-03
67,0.008391,0.011778,1.000000e-03
68,0.008238,0.011843,1.000000e-03
69,0.008270,0.011609,1.000000e-03
70,0.008096,0.011758,1.000000e-03
71,0.008291,0.011757,1.000000e-03
72,0.008001,0.011714,1.000000e-03
73,0.007941,0.011582,1.000000e-03
74,0.007869,0.012219,1.000000e-03
75,0.007857,0.011468,1.000000e-03
76,0.007716,0.011563,1.000000e-03
77,0.007670,0.011367,1.000000e-03
78,0.007534,0.011643,1.000000e-03
79,0.007495,0.011435,1.000000e-03
80,0.007330,0.011424,1.000000e-03
81,0.007349,0.011976,1.000000e-03
82,0.007404,0.011704,1.000000e-03
83,0.007225,0.011829,1.000000e-03
84,0.006985,0.011169,5.000000e-04
85,0.006993,0.011052,5.000000e-04
86,0.006827,0.011003,5.000000e-04
87,0.006809,0.011011,5.000000e-04
88,0.006781,0.010947,5.000000e-04
89,0.006722,0.010964,5.000000e-04
90,0.006743,0.011004,5.000000e-04
91,0.006746,0.010914,5.000000e-04
92,0.006660,0.010962,5.000000e-04
93,0.006598,0.010947,5.000000e-04
94,0.006654,0.010829,5.000000e-04
95,0.006570,0.010843,5.000000e-04
96,0.006524,0.010867,5.000000e-04
97,0.006486,0.011211,5.000000e-04
98,0.006517,0.011060,5.000000e-04
99,0.006475,0.010934,5.000000e-04
100,0.006495,0.010890,5.000000e-04
101,0.006396,0.010801,2.500000e-04
102,0.006337,0.010828,2.500000e-04
103,0.006322,0.010785,2.500000e-04
104,0.006336,0.010955,2.500000e-04
