epoch,train_mse,val_mse,lr
1,0.017763,0.015714,1.000000e-03
2,0.012923,0.014775,1.000000e-03
3,0.011932,0.014772,1.000000e-03
4,0.011472,0.013814,1.000000e-03
5,0.010545,0.014281,1.000000e-03
6,0.009863,0.013149,1.000000e-03
7,0.009592,0.014298,1.000000e-03
8,0.009409,0.012747,1.000000e-03
9,0.008897,0.013237,1.000000e-03
10,0.008941,0.012800,1.000000e-03
11,0.008580,0.012890,1.000000e-03
12,0.008222,0.012908,1.000000e-03
13,0.008043,0.012652,1.000000e-03
14,0.007809,0.012402,1.000000e-03
15,0.007558,0.012126,1.000000e-03
16,0.007309,0.011913,1.000000e-03
17,0.006922,0.012286,1.000000e-03
18,0.006827,0.012649,1.000000e-03
19,0.006720,0.011650,1.000000e-03
20,0.006490,0.011424,1.000000e-03
21,0.006360,0.011487,1.000000e-03
22,0.006303,0.011506,1.000000e-03
23,0.006333,0.011314,1.000000e-03
24,0.006167,0.011231,1.000000e-03
25,0.005927,0.011141,1.000000e-03
26,0.005861,0.011016,1.000000e-03
27,0.005775,0.011046,1.000000e-03
28,0.005670,0.010853,1.000000e-03
29,0.005400,0.010810,1.000000e-03
30,0.005236,0.010916,1.000000e-03
31,0.005261,0.010935,1.000000e-03
32,0.005212,0.010783,1.000000e-03
33,0.005163,0.010604,1.000000e-03
34,0.005068,0.010764,1.000000e-03
35,0.004967,0.010563,1.000000e-03
