epoch,train_mse,val_mse,lr
1,0.028416,0.018924,1.000000e-03
2,0.018963,0.017603,1.000000e-03
3,0.017667,0.017423,1.000000e-03
4,0.016580,0.016018,1.000000e-03
5,0.016095,0.015501,1.000000e-03
6,0.015711,0.015734,1.000000e-03
7,0.015316,0.015155,1.000000e-03
8,0.014472,0.014600,1.000000e-03
9,0.014270,0.014721,1.000000e-03
10,0.013850,0.014348,1.000000e-03
11,0.013214,0.014720,1.000000e-03
12,0.012627,0.014044,1.000000e-03
13,0.012589,0.013685,1.000000e-03
14,0.012277,0.013558,1.000000e-03
15,0.012044,0.013465,1.000000e-03
16,0.011577,0.013165,1.000000e-03
17,0.011887,0.013528,1.000000e-03
18,0.011330,0.013808,1.000000e-03
19,0.011321,0.012793,1.000000e-03
20,0.010908,0.012991,1.000000e-03
21,0.010796,0.013029,1.000000e-03
22,0.010721,0.012776,1.000000e-03
23,0.010842,0.012941,1.000000e-03
24,0.010661,0.012795,1.000000e-03
25,0.010559,0.012686,1.000000e-03
26,0.010330,0.012609,1.000000e-03
27,0.010331,0.012707,1.000000e-03
28,0.009953,0.012385,1.000000e-03
29,0.009885,0.012353,1.000000e-03
30,0.009493,0.012484,1.000000e-03
31,0.009367,0.012299,1.000000e-03
32,0.009430,0.012188,1.000000e-03
33,0.009507,0.012343,1.000000e-03
34,0.009170,0.012079,1.000000e-03
35,0.009094,0.012086,1.000000e-03
36,0.008974,0.011926,1.000000e-03
37,0.008795,0.011926,1.000000e-03
38,0.008801,0.011781,1.000000e-03
39,0.008625,0.011974,1.000000e-03
40,0.008766,0.012472,1.000000e-03
41,0.008445,0.011767,1.000000e-03
42,0.008198,0.011741,1.000000e-03
43,0.008194,0.011597,1.000000e-03
44,0.008048,0.011656,1.000000e-03
45,0.007928,0.011470,1.000000e-03
46,0.007798,0.011505,1.000000e-03
47,0.007768,0.011419,1.000000e-03
48,0.007600,0.011429,1.000000e-03
49,0.007514,0.011485,1.000000e-03
50,0.007497,0.011681,1.000000e-03
51,0.007493,0.011300,1.000000e-03
52,0.007319,0.011399,1.000000e-03
53,0.007191,0.011243,1.000000e-03
54,0.007222,0.011424,1.000000e-03
55,0.007186,0.011177,1.000000e-03
56,0.007078,0.011102,1.000000e-03
57,0.006912,0.011234,1.000000e-03
58,0.007199,0.011329,1.000000e-03
59,0.006966,0.011040,1.000000e-03
60,0.006798,0.011011,1.000000e-03
61,0.006762,0.011263,1.000000e-03
62,0.006693,0.010986,1.000000e-03
63,0.006653,0.010926,1.000000e-03
64,0.006601,0.011109,1.000000e-03
65,0.006665,0.011320,1.000000e-03
66,0.006726,0.010971,1.000000e-03
67,0.006572,0.010897,1.000000e-03
68,0.006483,0.010852,1.000000e-03
69,0.006570,0.010955,1.000000e-03
70,0.006397,0.010896,1.000000e-03
71,0.006481,0.010825,1.000000e-03
72,0.006348,0.010865,1.000000e-03
73,0.006329,0.010823,1.000000e-03
74,0.006292,0.010654,1.000000e-03
75,0.006200,0.010708,1.000000e-03
76,0.006211,0.010874,1.000000e-03
77,0.006112,0.010844,1.000000e-03
78,0.006173,0.010734,1.000000e-03
79,0.006093,0.010803,1.000000e-03
80,0.006116,0.010731,1.000000e-03
81,0.005934,0.010605,5.000000e-04
82,0.005837,0.010599,5.000000e-04
83,0.005810,0.010485,5.000000e-04
84,0.005766,0.010589,5.000000e-04
85,0.005777,0.010500,5.000000e-04
86,0.005722,0.010435,5.000000e-04
87,0.005719,0.010458,5.000000e-04
88,0.005713,0.010527,5.000000e-04
89,0.005622,0.010473,5.000000e-04
90,0.005663,0.010441,5.000000e-04
91,0.005565,0.010381,5.000000e-04
92,0.005574,0.010420,5.000000e-04
93,0.005513,0.010433,5.000000e-04
94,0.005478,0.010483,5.000000e-04
95,0.005501,0.010452,5.000000e-04
96,0.005404,0.010331,5.000000e-04
97,0.005457,0.010282,5.000000e-04
98,0.005338,0.010373,5.000000e-04
99,0.005336,0.010350,5.000000e-04
100,0.005396,0.010227,5.000000e-04
101,0.005285,0.010283,5.000000e-04
102,0.005217,0.010225,5.000000e-04
103,0.005180,0.010343,5.000000e-04
104,0.005140,0.010208,5.000000e-04
105,0.005131,0.010265,5.000000e-04
106,0.005110,0.010174,5.000000e-04
107,0.005147,0.010139,5.000000e-04
108,0.005076,0.010114,5.000000e-04
109,0.005011,0.010052,5.000000e-04
110,0.005053,0.010090,5.000000e-04
111,0.005014,0.010123,5.000000e-04
112,0.004983,0.010146,5.000000e-04
113,0.004952,0.010029,5.000000e-04
114,0.004986,0.010065,5.000000e-04
115,0.004915,0.010068,5.000000e-04
116,0.004880,0.009983,5.000000e-04
117,0.004870,0.010086,5.000000e-04
118,0.004922,0.010001,5.000000e-04
119,0.004847,0.010107,5.000000e-04
120,0.004819,0.010040,5.000000e-04
121,0.004788,0.009998,5.000000e-04
122,0.004830,0.010031,5.000000e-04
123,0.004670,0.009922,2.500000e-04
124,0.004655,0.009981,2.500000e-04
125,0.004628,0.009928,2.500000e-04
126,0.004629,0.009909,2.500000e-04
