epoch,train_mse,val_mse,lr
1,0.023879,0.018833,1.000000e-03
2,0.019025,0.018507,1.000000e-03
3,0.018005,0.018284,1.000000e-03
4,0.017401,0.017765,1.000000e-03
5,0.017081,0.017613,1.000000e-03
6,0.016818,0.017462,1.000000e-03
7,0.016330,0.017319,1.000000e-03
8,0.016072,0.017437,1.000000e-03
9,0.016013,0.017164,1.000000e-03
10,0.015919,0.017328,1.000000e-03
11,0.015894,0.017212,1.000000e-03
12,0.015714,0.017111,1.000000e-03
13,0.015566,0.017144,1.000000e-03
14,0.015413,0.016859,1.000000e-03
15,0.015285,0.016790,1.000000e-03
16,0.015199,0.016831,1.000000e-03
17,0.015065,0.016739,1.000000e-03
18,0.014969,0.016728,1.000000e-03
19,0.014799,0.016609,1.000000e-03
20,0.014693,0.016563,1.000000e-03
21,0.014637,0.016557,1.000000e-03
22,0.014565,0.016480,1.000000e-03
23,0.014483,0.016433,1.000000e-03
24,0.014345,0.016666,1.000000e-03
25,0.014296,0.016390,1.000000e-03
26,0.014145,0.016200,1.000000e-03
27,0.014048,0.016145,1.000000e-03
28,0.013998,0.016362,1.000000e-03
29,0.013988,0.016270,1.000000e-03
30,0.013991,0.016259,1.000000e-03
31,0.013876,0.016112,1.000000e-03
32,0.013809,0.016295,1.000000e-03
33,0.013732,0.016046,1.000000e-03
34,0.013676,0.016143,1.000000e-03
35,0.013612,0.015972,1.000000e-03
36,0.013563,0.015969,1.000000e-03
37,0.013516,0.016110,1.000000e-03
38,0.013476,0.015909,1.000000e-03
39,0.013386,0.015873,1.000000e-03
40,0.013310,0.015926,1.000000e-03
41,0.013277,0.015770,1.000000e-03
42,0.013232,0.016137,1.000000e-03
43,0.013192,0.015820,1.000000e-03
44,0.013113,0.015807,1.000000e-03
45,0.013116,0.015795,1.000000e-03
46,0.013035,0.015862,1.000000e-03
47,0.012988,0.015703,1.000000e-03
48,0.012951,0.015738,1.000000e-03
49,0.012898,0.015960,1.000000e-03
50,0.012881,0.015649,1.000000e-03
51,0.012896,0.015733,1.000000e-03
52,0.012790,0.015646,1.000000e-03
53,0.012774,0.015703,1.000000e-03
54,0.012742,0.015610,1.000000e-03
55,0.012674,0.015660,1.000000e-03
56,0.012651,0.015532,1.000000e-03
57,0.012599,0.015597,1.000000e-03
58,0.012576,0.015558,1.000000e-03
59,0.012505,0.015408,1.000000e-03
60,0.012431,0.015359,1.000000e-03
61,0.012379,0.015275,1.000000e-03
62,0.012344,0.015356,1.000000e-03
63,0.012323,0.015341,1.000000e-03
64,0.012317,0.015326,1.000000e-03
65,0.012294,0.015281,1.000000e-03
66,0.012258,0.015479,1.000000e-03
67,0.012223,0.015254,1.000000e-03
68,0.012213,0.015287,1.000000e-03
69,0.012161,0.015244,1.000000e-03
70,0.012151,0.015332,1.000000e-03
71,0.012143,0.015204,1.000000e-03
