epoch,train_mse,val_mse,lr
1,0.036927,0.024081,1.000000e-03
2,0.024639,0.019607,1.000000e-03
3,0.022473,0.019239,1.000000e-03
4,0.022339,0.019893,1.000000e-03
5,0.022151,0.019763,1.000000e-03
6,0.021499,0.018809,1.000000e-03
7,0.021050,0.018066,1.000000e-03
8,0.020625,0.018359,1.000000e-03
9,0.020458,0.018007,1.000000e-03
10,0.020403,0.018026,1.000000e-03
11,0.020141,0.017833,1.000000e-03
12,0.020005,0.017872,1.000000e-03
13,0.019863,0.017910,1.000000e-03
14,0.019765,0.018336,1.000000e-03
15,0.019790,0.017953,1.000000e-03
16,0.019602,0.017808,1.000000e-03
17,0.019617,0.017666,1.000000e-03
18,0.019315,0.018092,1.000000e-03
19,0.019189,0.017734,1.000000e-03
20,0.019143,0.017857,1.000000e-03
21,0.018935,0.017294,1.000000e-03
22,0.018732,0.017597,1.000000e-03
23,0.018755,0.017593,1.000000e-03
24,0.018649,0.017386,1.000000e-03
25,0.018471,0.017235,1.000000e-03
26,0.018486,0.017368,1.000000e-03
27,0.018457,0.017381,1.000000e-03
28,0.018394,0.017182,1.000000e-03
29,0.018414,0.017510,1.000000e-03
30,0.018400,0.017418,1.000000e-03
31,0.018216,0.017361,1.000000e-03
32,0.018237,0.017289,1.000000e-03
33,0.018158,0.017271,1.000000e-03
34,0.018054,0.017290,1.000000e-03
35,0.017883,0.017063,5.000000e-04
36,0.017771,0.017060,5.000000e-04
37,0.017671,0.017100,5.000000e-04
38,0.017652,0.017142,5.000000e-04
39,0.017643,0.017012,5.000000e-04
40,0.017611,0.017134,5.000000e-04
41,0.017557,0.017148,5.000000e-04
42,0.017569,0.017083,5.000000e-04
43,0.017534,0.017111,5.000000e-04
44,0.017456,0.017079,5.000000e-04
45,0.017397,0.016933,5.000000e-04
46,0.017349,0.016993,5.000000e-04
47,0.017339,0.017115,5.000000e-04
48,0.017280,0.017003,5.000000e-04
49,0.017229,0.016986,5.000000e-04
50,0.017190,0.016947,5.000000e-04
51,0.017135,0.016997,5.000000e-04
52,0.016947,0.016817,2.500000e-04
53,0.016888,0.016884,2.500000e-04
54,0.016839,0.016831,2.500000e-04
55,0.016791,0.016850,2.500000e-04
56,0.016778,0.016862,2.500000e-04
57,0.016748,0.016917,2.500000e-04
58,0.016699,0.016841,2.500000e-04
59,0.016618,0.016797,1.250000e-04
60,0.016599,0.016728,1.250000e-04
61,0.016571,0.016811,1.250000e-04
62,0.016564,0.016734,1.250000e-04
