epoch,train_mse,val_mse,lr
1,0.018473,0.016411,1.000000e-03
2,0.013436,0.014923,1.000000e-03
3,0.012274,0.015960,1.000000e-03
4,0.011333,0.015657,1.000000e-03
5,0.010391,0.013576,1.000000e-03
6,0.009947,0.013330,1.000000e-03
7,0.009644,0.013221,1.000000e-03
8,0.009288,0.013002,1.000000e-03
9,0.008939,0.012959,1.000000e-03
10,0.008722,0.012597,1.000000e-03
11,0.008484,0.012622,1.000000e-03
12,0.008264,0.012493,1.000000e-03
13,0.008006,0.012589,1.000000e-03
14,0.007864,0.012405,1.000000e-03
15,0.007809,0.012165,1.000000e-03
16,0.007550,0.012138,1.000000e-03
17,0.007407,0.011979,1.000000e-03
18,0.007256,0.011760,1.000000e-03
19,0.007077,0.012121,1.000000e-03
20,0.006850,0.011948,1.000000e-03
21,0.006795,0.012607,1.000000e-03
22,0.006858,0.011952,1.000000e-03
23,0.006584,0.011506,1.000000e-03
24,0.006425,0.011268,1.000000e-03
25,0.006291,0.011318,1.000000e-03
26,0.006123,0.011235,1.000000e-03
27,0.006002,0.011680,1.000000e-03
28,0.005902,0.011391,1.000000e-03
29,0.005870,0.011174,1.000000e-03
30,0.005755,0.011074,1.000000e-03
31,0.005639,0.011357,1.000000e-03
32,0.005586,0.011010,1.000000e-03
33,0.005542,0.010977,1.000000e-03
34,0.005507,0.011144,1.000000e-03
35,0.005509,0.011605,1.000000e-03
36,0.005509,0.010968,1.000000e-03
37,0.005404,0.010915,1.000000e-03
38,0.005458,0.011037,1.000000e-03
39,0.005309,0.010778,1.000000e-03
40,0.005298,0.010929,1.000000e-03
41,0.005243,0.011597,1.000000e-03
42,0.005252,0.010719,1.000000e-03
43,0.005202,0.011345,1.000000e-03
44,0.005096,0.010934,1.000000e-03
45,0.005059,0.010630,1.000000e-03
46,0.004987,0.010619,1.000000e-03
47,0.004950,0.011895,1.000000e-03
48,0.004926,0.010570,1.000000e-03
49,0.004888,0.010860,1.000000e-03
50,0.004887,0.010707,1.000000e-03
51,0.004883,0.011035,1.000000e-03
52,0.004860,0.010573,1.000000e-03
53,0.004845,0.010862,1.000000e-03
54,0.004809,0.010598,1.000000e-03
55,0.004614,0.010849,5.000000e-04
