epoch,train_mse,val_mse,lr
1,0.025230,0.024091,1.000000e-03
2,0.019815,0.042549,1.000000e-03
3,0.018899,0.020127,1.000000e-03
4,0.018214,0.019554,1.000000e-03
5,0.017960,0.023276,1.000000e-03
6,0.017845,0.021662,1.000000e-03
7,0.017734,0.028325,1.000000e-03
8,0.017612,0.026588,1.000000e-03
9,0.017548,0.031526,1.000000e-03
10,0.017348,0.026805,1.000000e-03
11,0.017002,0.029474,5.000000e-04
12,0.016906,0.023361,5.000000e-04
13,0.016846,0.078847,5.000000e-04
14,0.016688,0.023980,5.000000e-04
