epoch,train_mse,val_mse,lr
1,0.036727,0.023951,1.000000e-03
2,0.027909,0.022863,1.000000e-03
3,0.023937,0.021121,1.000000e-03
4,0.023070,0.021909,1.000000e-03
5,0.022779,0.024293,1.000000e-03
6,0.022836,0.020089,1.000000e-03
7,0.022564,0.027924,1.000000e-03
8,0.022323,0.029996,1.000000e-03
9,0.022109,0.044231,1.000000e-03
10,0.021701,0.021615,1.000000e-03
11,0.021311,0.020628,1.000000e-03
12,0.021045,0.019880,1.000000e-03
13,0.021202,0.018485,1.000000e-03
14,0.021013,0.018778,1.000000e-03
15,0.020760,0.018830,1.000000e-03
16,0.020789,0.019167,1.000000e-03
17,0.020707,0.018761,1.000000e-03
18,0.020668,0.019118,1.000000e-03
19,0.020715,0.019111,1.000000e-03
20,0.020409,0.018581,5.000000e-04
21,0.020307,0.018818,5.000000e-04
22,0.020321,0.026868,5.000000e-04
23,0.020261,0.018849,5.000000e-04
