epoch,train_mse,val_mse,lr
1,0.046857,0.020315,1.000000e-03
2,0.019097,0.016981,1.000000e-03
3,0.017576,0.016749,1.000000e-03
4,0.016084,0.015484,1.000000e-03
5,0.014856,0.014604,1.000000e-03
6,0.014135,0.014185,1.000000e-03
7,0.013222,0.013401,1.000000e-03
8,0.012759,0.013030,1.000000e-03
9,0.012374,0.012816,1.000000e-03
10,0.012205,0.012988,1.000000e-03
11,0.011994,0.013282,1.000000e-03
12,0.011802,0.012814,1.000000e-03
13,0.011684,0.012773,1.000000e-03
14,0.011549,0.014691,1.000000e-03
15,0.011430,0.012493,1.000000e-03
16,0.011259,0.013050,1.000000e-03
17,0.011145,0.012876,1.000000e-03
18,0.011143,0.012696,1.000000e-03
19,0.010982,0.012505,1.000000e-03
20,0.011018,0.012500,1.000000e-03
21,0.010845,0.012541,1.000000e-03
22,0.010563,0.012208,5.000000e-04
23,0.010440,0.012238,5.000000e-04
24,0.010387,0.012428,5.000000e-04
25,0.010319,0.012482,5.000000e-04
26,0.010302,0.012406,5.000000e-04
27,0.010247,0.012349,5.000000e-04
28,0.010281,0.012344,5.000000e-04
29,0.010064,0.012266,2.500000e-04
30,0.009997,0.012337,2.500000e-04
31,0.009976,0.012273,2.500000e-04
32,0.009951,0.012254,2.500000e-04
