epoch,train_mse,val_mse,lr
1,0.032050,0.012832,1.000000e-03
2,0.010680,0.012572,1.000000e-03
3,0.009731,0.011229,1.000000e-03
4,0.008353,0.010633,1.000000e-03
5,0.007573,0.010048,1.000000e-03
6,0.007320,0.009834,1.000000e-03
7,0.007206,0.009650,1.000000e-03
8,0.006968,0.009845,1.000000e-03
9,0.006931,0.009680,1.000000e-03
10,0.006722,0.009295,1.000000e-03
11,0.006457,0.009038,1.000000e-03
12,0.006446,0.009217,1.000000e-03
13,0.006496,0.009048,1.000000e-03
14,0.006420,0.009157,1.000000e-03
15,0.006263,0.009136,1.000000e-03
16,0.006208,0.008841,1.000000e-03
17,0.006085,0.008662,1.000000e-03
18,0.005953,0.008808,1.000000e-03
19,0.005819,0.008661,1.000000e-03
20,0.005760,0.008569,1.000000e-03
21,0.005968,0.009281,1.000000e-03
22,0.006714,0.008456,1.000000e-03
23,0.005824,0.008445,1.000000e-03
24,0.005736,0.008646,1.000000e-03
25,0.005396,0.008241,1.000000e-03
26,0.005380,0.008452,1.000000e-03
27,0.005405,0.008312,1.000000e-03
28,0.005261,0.008227,1.000000e-03
29,0.005234,0.009059,1.000000e-03
30,0.005187,0.008256,1.000000e-03
31,0.005131,0.008042,1.000000e-03
32,0.005155,0.007947,1.000000e-03
33,0.004942,0.007899,1.000000e-03
34,0.004889,0.007820,1.000000e-03
35,0.004896,0.007774,1.000000e-03
36,0.004839,0.008277,1.000000e-03
37,0.004923,0.007692,1.000000e-03
38,0.004734,0.007804,1.000000e-03
39,0.004721,0.007996,1.000000e-03
40,0.004710,0.007615,1.000000e-03
41,0.004623,0.007602,1.000000e-03
42,0.004660,0.007699,1.000000e-03
43,0.004630,0.007482,1.000000e-03
44,0.004519,0.007529,1.000000e-03
45,0.004546,0.007938,1.000000e-03
46,0.004613,0.007638,1.000000e-03
47,0.004440,0.007454,1.000000e-03
48,0.004472,0.007490,1.000000e-03
49,0.004429,0.007740,1.000000e-03
50,0.004375,0.007476,1.000000e-03
51,0.004333,0.007302,1.000000e-03
52,0.004286,0.007448,1.000000e-03
53,0.004239,0.007295,1.000000e-03
54,0.004323,0.007347,1.000000e-03
55,0.004455,0.007505,1.000000e-03
56,0.004323,0.007305,1.000000e-03
57,0.004248,0.007214,1.000000e-03
58,0.004158,0.007088,1.000000e-03
59,0.004128,0.007234,1.000000e-03
60,0.004097,0.007069,1.000000e-03
61,0.004112,0.007187,1.000000e-03
62,0.004053,0.007129,1.000000e-03
63,0.004051,0.007154,1.000000e-03
64,0.003989,0.007166,1.000000e-03
65,0.004032,0.007040,1.000000e-03
66,0.003932,0.007188,1.000000e-03
67,0.003953,0.006934,1.000000e-03
68,0.003906,0.006979,1.000000e-03
69,0.003946,0.007375,1.000000e-03
70,0.004044,0.007153,1.000000e-03
71,0.003953,0.007111,1.000000e-03
72,0.003915,0.006992,1.000000e-03
73,0.003886,0.007033,1.000000e-03
74,0.003745,0.006872,5.000000e-04
75,0.003653,0.006840,5.000000e-04
76,0.003626,0.006831,5.000000e-04
77,0.003638,0.006807,5.000000e-04
78,0.003619,0.006859,5.000000e-04
79,0.003594,0.006824,5.000000e-04
80,0.003638,0.006811,5.000000e-04
81,0.003604,0.006744,5.000000e-04
82,0.003554,0.006778,5.000000e-04
83,0.003554,0.006812,5.000000e-04
84,0.003542,0.006776,5.000000e-04
85,0.003559,0.006765,5.000000e-04
86,0.003517,0.006759,5.000000e-04
