epoch,train_mse,val_mse,lr
1,0.020164,0.013884,1.000000e-03
2,0.011161,0.012723,1.000000e-03
3,0.010206,0.012488,1.000000e-03
4,0.009798,0.012813,1.000000e-03
5,0.009618,0.012186,1.000000e-03
6,0.009481,0.012149,1.000000e-03
7,0.009307,0.012248,1.000000e-03
8,0.009196,0.012433,1.000000e-03
9,0.009075,0.012146,1.000000e-03
10,0.008984,0.012175,1.000000e-03
11,0.008922,0.012067,1.000000e-03
12,0.008839,0.011904,1.000000e-03
13,0.008772,0.012121,1.000000e-03
14,0.008722,0.011931,1.000000e-03
15,0.008624,0.011759,1.000000e-03
16,0.008543,0.011805,1.000000e-03
17,0.008490,0.011753,1.000000e-03
18,0.008449,0.011805,1.000000e-03
19,0.008380,0.011864,1.000000e-03
20,0.008328,0.011920,1.000000e-03
21,0.008283,0.011804,1.000000e-03
22,0.008233,0.011876,1.000000e-03
23,0.008184,0.011741,1.000000e-03
24,0.008112,0.011641,1.000000e-03
25,0.008081,0.011730,1.000000e-03
26,0.008044,0.011935,1.000000e-03
27,0.007996,0.011693,1.000000e-03
28,0.007958,0.011845,1.000000e-03
29,0.007943,0.011935,1.000000e-03
30,0.007891,0.011694,1.000000e-03
31,0.007638,0.011548,5.000000e-04
32,0.007603,0.011584,5.000000e-04
33,0.007575,0.011546,5.000000e-04
34,0.007541,0.011499,5.000000e-04
35,0.007531,0.011510,5.000000e-04
36,0.007506,0.011511,5.000000e-04
37,0.007482,0.011538,5.000000e-04
38,0.007461,0.011510,5.000000e-04
39,0.007432,0.011698,5.000000e-04
40,0.007406,0.011498,5.000000e-04
41,0.007299,0.011513,2.500000e-04
42,0.007257,0.011470,2.500000e-04
43,0.007253,0.011522,2.500000e-04
44,0.007247,0.011491,2.500000e-04
