epoch,train_mse,val_mse,lr
1,0.009887,0.009979,1.000000e-03
2,0.005763,0.008602,1.000000e-03
3,0.004996,0.008851,1.000000e-03
4,0.004676,0.008035,1.000000e-03
5,0.004418,0.008178,1.000000e-03
6,0.004297,0.008230,1.000000e-03
7,0.004168,0.007752,1.000000e-03
8,0.003897,0.007438,1.000000e-03
9,0.003761,0.007487,1.000000e-03
10,0.003573,0.007208,1.000000e-03
11,0.003509,0.007685,1.000000e-03
12,0.003389,0.007119,1.000000e-03
13,0.003332,0.006978,1.000000e-03
14,0.003298,0.007162,1.000000e-03
15,0.003287,0.007486,1.000000e-03
