epoch,train_mse,val_mse,lr
1,0.024772,0.084879,1.000000e-03
2,0.018719,0.130039,1.000000e-03
3,0.015873,0.082390,1.000000e-03
4,0.015184,0.087199,1.000000e-03
5,0.014718,0.153920,1.000000e-03
6,0.014442,0.106532,1.000000e-03
7,0.014286,0.111938,1.000000e-03
8,0.013811,0.087311,1.000000e-03
9,0.013994,0.126586,1.000000e-03
10,0.013466,0.125539,5.000000e-04
11,0.013293,0.087100,5.000000e-04
12,0.013608,0.070527,5.000000e-04
13,0.013668,0.079947,5.000000e-04
14,0.012964,0.123866,5.000000e-04
15,0.013250,0.130519,5.000000e-04
16,0.013268,0.109739,5.000000e-04
17,0.012991,0.115359,5.000000e-04
18,0.013056,0.139379,5.000000e-04
19,0.012746,0.112936,2.500000e-04
20,0.013006,0.158721,2.500000e-04
21,0.012488,0.113140,2.500000e-04
22,0.012988,0.207477,2.500000e-04
