epoch,train_mse,val_mse,lr
1,0.056757,0.124492,1.000000e-03
2,0.023105,0.106770,1.000000e-03
3,0.022116,0.137342,1.000000e-03
4,0.023370,0.097268,1.000000e-03
5,0.021959,0.070608,1.000000e-03
6,0.020848,0.123532,1.000000e-03
7,0.021641,0.040125,1.000000e-03
8,0.021081,0.030175,1.000000e-03
9,0.020799,0.097262,1.000000e-03
10,0.020376,0.112585,1.000000e-03
11,0.020543,0.052151,1.000000e-03
12,0.019191,0.062452,1.000000e-03
13,0.018488,0.055350,1.000000e-03
14,0.018555,0.062465,1.000000e-03
15,0.017609,0.061175,5.000000e-04
16,0.017623,0.080219,5.000000e-04
17,0.018717,0.083792,5.000000e-04
18,0.017041,0.050424,5.000000e-04
