ID,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0,0.9084367,0.08251894,0.5824768,0.38428426,0.5848734,0.15648486,0.03011417,0.00953198,0.2219299,0.059101813,0.08043216,0.018585782,0.008778724,0.039271254,0.10696742,0.8078072,0.16010687,0.079053394,0.048668697,0.05588435,0.02602103,0.026168674,0.078025155,0.12176664,0.14789478,0.028365728,0.16408236,0.009678455,0.04838614,0.06695472,0.06966957,0.055579893,0.029494628,0.016515713,0.036490947
1,0.5783217,0.08638145,0.36796236,0.22683229,1.3481386,0.10549035,0.032233506,0.007865733,0.13678807,0.05393745,0.086396694,0.012421667,0.007539971,0.033631276,0.072253466,0.6245369,0.12671405,0.052404303,0.041852213,0.09037459,0.03142702,0.027782584,0.080111265,0.086019926,0.12908252,0.019017674,0.11818575,0.004888312,0.04365423,0.05873905,0.06711218,0.049670503,0.021552876,0.010211471,0.029395968
2,2.3328314,0.11584327,1.5670328,0.8014443,1.093737,0.09609068,0.058932792,0.009289212,0.30332994,0.009599645,0.022810854,0.019189142,0.01212955,0.02862805,0.055307996,0.5464338,0.16832045,0.20742026,0.061644085,0.057313953,0.06496328,0.037162475,0.12794459,0.26966316,0.0891934,0.017083744,0.18378273,0.016826833,0.054369155,0.016984863,0.13181007,0.10024236,0.027956478,0.041797027,0.07344219
3,1.7763197,0.117516644,1.1838121,0.65381837,0.99962986,0.15586235,0.054672237,0.009729598,0.3736757,0.048495,0.049215913,0.037308887,0.009578582,0.036060497,0.21354005,1.5561059,0.2138167,0.15966702,0.06712873,0.08098516,0.055008292,0.037859667,0.12265852,0.2191993,0.065594025,0.030472632,0.26942074,0.022995472,0.0799122,0.034076117,0.11661672,0.09421575,0.034242533,0.033855334,0.06843621
4,0.6339936,0.07900223,0.39846843,0.241048,1.2533271,0.10742992,0.029982425,0.0062976307,0.14221376,0.0545295,0.073578775,0.011619634,0.0066558113,0.028331174,0.07044015,0.62843764,0.11373392,0.053985305,0.03784294,0.08830595,0.028517269,0.02723679,0.0754045,0.08517577,0.11106393,0.015119534,0.12107698,0.004595503,0.040147122,0.047575276,0.06313513,0.04695703,0.020025799,0.010353991,0.028025402
5,3.0977695,0.13126367,2.1286867,0.9927511,1.4650265,0.06373164,0.07400339,0.008137552,0.35517484,0.0041409843,-0.0043579116,0.020350136,0.013141375,0.02210005,0.043170128,0.46944138,0.13143665,0.2828062,0.06201169,0.05596913,0.09164106,0.042761095,0.15274411,0.3536472,0.0937483,0.008324861,0.198935,0.01874649,0.04563553,-0.0013503842,0.16578731,0.124940395,0.025336681,0.056591123,0.09540337
6,1.4485383,0.1928014,1.106214,0.5793121,1.2262541,0.20399955,0.07467777,0.022214212,0.54300904,0.13313717,0.1277978,0.08404571,0.016101593,0.09042645,0.52235687,3.6358192,0.38111418,0.17022127,0.09268985,0.115643665,0.080368534,0.04743955,0.18111639,0.27179736,0.20451497,0.07168841,0.4017313,0.055730686,0.13140029,0.11724642,0.1597547,0.13718054,0.05270283,0.04302352,0.10175482
7,0.49951538,0.09552427,0.32019758,0.1825848,1.8029584,0.08553325,0.037670657,0.007826471,0.11078581,0.049792156,0.09078288,0.012582766,0.0074085584,0.033041652,0.07098481,0.63930964,0.12675467,0.048174847,0.044375733,0.10982687,0.038490742,0.030874982,0.08751272,0.07993254,0.11263018,0.01648653,0.10241237,0.0042009987,0.050211474,0.055119835,0.0729956,0.052620173,0.02000365,0.0092769805,0.030755447
8,1.1534927,0.07550833,0.72635156,0.44489866,0.696539,0.15461756,0.030625312,0.006903307,0.2633211,0.08019653,0.062439445,0.022173496,0.0076083983,0.029161673,0.13638374,1.1012317,0.10899487,0.09141795,0.03498798,0.073872164,0.021070112,0.02657402,0.079229124,0.1311917,0.09879418,0.0214621,0.20670728,0.00959072,0.028777042,0.042585827,0.07006587,0.05656314,0.024902232,0.0189415,0.038632568
9,0.9110703,0.0710631,0.5689762,0.3536501,0.77629906,0.13727061,0.026974197,0.0063135168,0.2054452,0.067062445,0.06547376,0.015258638,0.0069136117,0.027711133,0.09601814,0.81615895,0.1070218,0.0719192,0.03413894,0.071982235,0.020791994,0.02518237,0.07201579,0.10749646,0.10804993,0.018236825,0.164085,0.0064812,0.03005056,0.045225073,0.062176086,0.04872602,0.022452418,0.014285702,0.031308893
