Epoch,Train Loss,Val Loss,Val Spearman,Learning Rate
1,90.47905781473168,70.39723887724035,0.46784333459692523,0.001
2,64.57767529485606,63.57810523118383,0.5323186997513277,0.001
3,59.51766261459194,87.5097445494533,0.3700174183267285,0.001
4,56.913989958385535,54.99538601146025,0.6195871835968152,0.001
5,55.35894551221242,63.346705204298516,0.5634531339410058,0.001
6,54.33255211959717,56.3488862541088,0.6297296042083224,0.001
7,53.39934533893427,72.23515808828192,0.5160263262742188,0.001
8,52.77362222495557,57.69447409307073,0.5897656974676534,0.001
9,52.16969026405046,65.87957828950117,0.5426643198050424,0.001
10,51.76519304465891,55.80074800239254,0.6116380328648962,0.0001
11,49.863421290874975,45.37966195755646,0.6929191817305775,0.0001
12,49.52949247750384,45.18985654336974,0.693466409800955,0.0001
13,49.362971147417525,45.24872095328055,0.693852926330964,0.0001
14,49.23375598912279,44.98014519722795,0.6957263348004064,0.0001
15,49.13873357622376,44.924494375719924,0.6959737884036488,0.0001
16,49.04062194005295,44.930895749551816,0.6966336164899535,0.0001
