Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,43499.76585657972,21977.684454257247,0.6671728981447652,0.0001
2,21798.902094487246,38419.479110054344,0.3647359233548492,0.00015
3,17503.009224252142,28197.541377943842,0.5341931555230789,0.0002
4,16167.673282246371,29675.3002660779,0.4854195591279991,0.00025
5,15238.041188204601,47963.19821105072,0.285222668777656,0.0003
6,14571.542749497394,31593.19507472826,0.449834774489506,0.00035
7,14061.131069871104,35679.9715919384,0.3797986440953193,0.0004
8,13652.945334263733,30707.31258491848,0.48666138919335855,0.00045000000000000004
9,13266.38605317084,36963.28643568841,0.37804489911906797,0.0005
10,12992.214384416215,46472.55439311594,0.32096374781796777,0.0005
11,12519.57670848704,34152.463235960146,0.43752851865383835,0.0004999371846181554
