Epoch,Train Loss,Val Loss,Val Spearman,Learning Rate
1,97.62130582843152,68.98425167791858,0.5667111155839581,0.001
2,66.84103906865104,60.29176134577768,0.6380663882319395,0.001
3,55.17083951248027,55.1555290404908,0.6766544222479411,0.001
4,51.47817160191383,43.60494510856217,0.7498540733658733,0.001
5,48.621479574810714,47.28992048708979,0.7271124976936882,0.001
6,47.27353192603884,45.09037558732632,0.7391596638655463,0.001
7,46.05697302348459,55.16499156837692,0.6780853419211995,0.001
8,45.08720729721632,40.27481658387327,0.774300306949127,0.001
9,44.4033875021259,43.77878337106305,0.7504324124859525,0.001
10,43.26495756164715,43.82951464624462,0.7494627551619449,0.001
11,42.12334323207859,39.78104497943809,0.776312417182442,0.001
12,41.50052562278343,44.190311409042266,0.7489902547845486,0.001
13,41.027179064526464,37.899032332368954,0.7844155386705581,0.001
14,39.739910662691905,41.662843213109916,0.771077676579614,0.001
15,39.58197553645497,48.36895716318827,0.7261963468021939,0.001
16,39.02619858107977,42.17112447316061,0.7675511162548851,0.001
17,38.21814957304821,38.60485819285501,0.7849046444925277,0.001
18,37.922100980541025,38.04042683447192,0.7899510223250977,0.001
19,36.88914447474815,37.129621069445584,0.7897557825525421,0.001
20,36.47573819864507,66.73372741059629,0.6228910246733425,0.001
21,36.98326280381944,44.911308051012234,0.745723298041136,0.001
22,36.09674734896477,51.38001289596101,0.7088527147385901,0.001
23,35.72823907258661,36.34331838185202,0.794713598014056,0.001
24,34.990820189799045,35.830429138823185,0.7985858535030779,0.001
25,34.508879425926246,55.775971244766325,0.6820577332729499,0.001
26,34.45346372432429,35.39172756400651,0.7982956775524582,0.001
27,33.84597719026276,38.24952492628269,0.7863176168671061,0.001
28,33.535644678628245,51.049196204453885,0.7136448112179004,0.001
29,33.61257693109915,46.392569965659504,0.7491336654422248,0.001
30,33.119708356831595,41.63520657659291,0.7636516882201985,0.001
31,32.89476201804893,37.161861919928455,0.7899246884382497,0.001
32,32.23078123528502,40.209561716867775,0.7701928915278686,0.0001
33,30.435371774226187,30.30884294566994,0.830412284674349,0.0001
34,29.91193012421486,30.24854846200543,0.8318975494389375,0.0001
35,29.801632678091043,29.989690513382413,0.8324529093074357,0.0001
36,29.63950136658245,30.102190739523152,0.8317809758633994,0.0001
37,29.473985010508684,30.093478537462428,0.8318380046629431,0.0001
38,29.386564569510398,29.91380013334537,0.8326686123551219,0.0001
39,29.257038219277106,29.945315962922788,0.8325835723510963,0.0001
40,29.179748093021527,30.04394690005365,0.832032405776682,0.0001
41,29.205931381038223,30.10701805388856,0.8318002650161863,0.0001
42,28.984941844134745,29.972632422989715,0.8323619986916924,0.0001
43,28.958108226208317,30.72563300903686,0.827698887938409,0.0001
44,28.89062990803817,30.103091606551303,0.8315028765997418,1e-05
45,28.77201855257622,29.95466923970662,0.8321588309017506,1e-05
46,28.728538637712496,29.86775879774265,0.8332466160116742,1e-05
47,28.61288946608149,29.902952125686372,0.8328903537462891,1e-05
