Epoch,Train Loss,Val Loss,Val Spearman,Learning Rate
1,0.4763312645148655,0.6316144921653958,0.5751324909685429,0.01
2,0.47696607720292256,0.8632276270752012,0.4079586635679358,0.01
3,0.4740184498751262,0.7276862105948038,0.5005918943055049,0.01
4,0.4757136323585053,0.7956080327241634,0.493432258714428,0.01
5,0.47354704508183454,0.49330932959242574,0.6952204578689274,0.01
6,0.47070319164682234,0.5621844999566162,0.6504911044737166,0.01
7,0.47197642005757173,0.602616608215708,0.6154096038614442,0.01
8,0.47242904966439175,0.48348889230680064,0.6945677333857171,0.01
9,0.46994651350464484,0.5103005462425004,0.6749245561382073,0.01
10,0.46899334315018903,0.5055590573023803,0.6785127832714091,0.01
11,0.46948517986540445,0.5212056928413163,0.673343023366185,0.01
12,0.4659413401262432,0.47852059313138084,0.7073944987255767,0.01
13,0.46775481054191714,0.8746080763381888,0.43684142421173355,0.01
14,0.4652800180771857,0.522470400877997,0.6646082276047428,0.01
15,0.4642018261367549,0.501364866898568,0.6890953081359628,0.01
16,0.4628928927519345,0.4826948695095374,0.7022429597131828,0.01
17,0.4631334408975967,0.5086770892234318,0.682333261716544,0.01
18,0.464438383223343,0.4870447037327463,0.6954902747553496,0.001
19,0.42954517308802037,0.4297503176128892,0.7485666508077937,0.001
20,0.4192394160177943,0.4259340990126998,0.7512806808128953,0.001
21,0.41641022855733056,0.42447488133100447,0.752503849219356,0.001
22,0.41430701604045744,0.4230663264772198,0.7532220047639774,0.001
23,0.4126939743619501,0.4233782686105295,0.7531903862332274,0.001
24,0.41130684758144304,0.42232066700711696,0.7542088056131377,0.001
25,0.4101094073519595,0.4217964754385107,0.7542819561285508,0.001
26,0.4089439104250797,0.4211796225528848,0.7546265740343928,0.001
27,0.40790445112149304,0.4211828309038015,0.7543322759876477,0.001
28,0.407010478833638,0.41976562366857156,0.7550121104880078,0.001
29,0.4061941560100956,0.4200342555825632,0.7549017255374599,0.001
30,0.4053703913762337,0.4192062627549751,0.7549477768506284,0.001
31,0.404624413147781,0.4182670902896237,0.7554954309109211,0.001
32,0.4039845008337178,0.4185063269504433,0.7552347239831928,0.001
33,0.4033337882543303,0.4178690189164135,0.7556726986731958,0.001
34,0.4028112061466598,0.4178951686625266,0.755504628207602,0.001
35,0.4021242725322753,0.41706051211761463,0.7557609032297593,0.001
